channel_number,service_name,service_type,provider_name,video_type,service_id,pmt_pid,video_pid,audio_pid,pcr_pid,teletext_pid,satellite_type,ts_id,network_id,modulation,frequency,polarization,symbol_rate,fec,transport_spec,cas_type
1,Das Erste HD,TV,,HD,0x283D,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FB,0x01,Sat,11494,H,22000,auto,DVB-S2,FTA
2,ZDF HD,TV,,HD,0x2B66,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F3,0x01,Sat,11362,H,22000,auto,DVB-S2,FTA
3,RTL HD,TV,,HD,0xEF10,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0421,0x01,Sat,10832,H,22000,auto,DVB-S2,NA
4,SAT.1 HD,TV,ProSiebenSat.1,HD,0xEF74,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F9,0x01,Sat,11464,H,22000,auto,DVB-S2,NA
5,VOX HD,TV,RTL World,HD,0xEF11,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0421,0x01,Sat,10832,H,22000,auto,DVB-S2,NA
6,ProSieben HD,TV,ProSiebenSat.1,HD,0xEF75,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F9,0x01,Sat,11464,H,22000,auto,DVB-S2,NA
7,kabel eins HD,TV,ProSiebenSat.1,HD,0xEF76,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F9,0x01,Sat,11464,H,22000,auto,DVB-S2,NA
8,arte HD,TV,,HD,0x283E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FB,0x01,Sat,11494,H,22000,auto,DVB-S2,FTA
9,RTLII HD,TV,RTL World,HD,0xEF15,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0421,0x01,Sat,10832,H,22000,auto,DVB-S2,NA
10,SUPER RTL HD,TV,RTL World,HD,0x2E9B,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0411,0x01,Sat,11082,H,22000,auto,DVB-S2,NA
