channel_number,service_name,service_type,provider_name,video_type,service_id,pmt_pid,video_pid,audio_pid,pcr_pid,teletext_pid,satellite_type,ts_id,network_id,modulation,frequency,polarization,symbol_rate,fec,transport_spec,cas_type,
1,ORF1 HD,TV,,HD,0x132F,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03EF,0x01,Sat,11303,H,22000,auto,DVB-S2,IR,
2,ORF2W HD,TV,,HD,0x1330,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03EF,0x01,Sat,11303,H,22000,auto,DVB-S2,IR,
3,ORF III HD,TV,,HD,0x33FC,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03ED,0x01,Sat,11273,H,22000,auto,DVB-S2,IR,
4,ATV HD,TV,,HD,0x33AC,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03EB,0x01,Sat,11244,H,22000,auto,DVB-S,IR,
5,ATV2,TV,,SD,0x33A7,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03EB,0x01,Sat,11244,H,22000,auto,DVB-S,IR,
6,ServusTV HD Oesterreich,TV,,HD,0x1331,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03EF,0x01,Sat,11303,H,22000,auto,DVB-S2,FTA,
7,PULS 4 Austria,TV,,SD,0x4E27,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x043A,0x01,Sat,12051,V,27500,auto,DVB-S,IR,
8,ORF Sport + HD,TV,,HD,0x33FD,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03ED,0x01,Sat,11273,H,22000,auto,DVB-S2,FTA,
9,Sonnenklar.TV HD,TV,,HD,0x1518,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0455,0x01,Sat,12574,H,22000,auto,DVB-S2,FTA,
10,Das Erste HD,TV,,HD,0x283D,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03FB,0x01,Sat,11494,H,22000,auto,DVB-S2,FTA,
11,ZDF HD,TV,,HD,0x2B66,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03F3,0x01,Sat,11361,H,22000,auto,DVB-S2,FTA,
12,BR Süd HD,TV,,HD,0x2855,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0401,0x01,Sat,11582,H,22000,auto,DVB-S2,FTA,
13,ProSieben Austria,TV,,SD,0x4E22,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x043A,0x01,Sat,12051,V,27500,auto,DVB-S,FTA,
14,SAT.1 A,TV,,SD,0x4E25,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x043A,0x01,Sat,12051,V,27500,auto,DVB-S,FTA,
15,Kabel 1 Austria,TV,,SD,0x4E24,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x043A,0x01,Sat,12051,V,27500,auto,DVB-S,FTA,
16,RTL Austria,TV,,SD,0x7080,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA,
17,VOX Austria,TV,,SD,0x7085,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA,
18,RTL2 Austria,TV,,SD,0x708A,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA,
19,Comedy Central / VIVA AT,TV,,SD,0x003C,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA,
20,DMAX Austria,TV,,SD,0x0049,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA,
21,NICKELODEON AT,TV,,SD,0x003D,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA,
22,RTL NITRO A,TV,,SD,0x332E,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
23,sixx Austria,TV,,SD,0x3332,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
24,ProSieben MAXX Austria,TV,,SD,0x14BF,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0407,0x01,Sat,11671,H,22000,auto,DVB-S2,FTA,
25,SAT.1 Gold Österreich,TV,,SD,0x14BE,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0407,0x01,Sat,11671,H,22000,auto,DVB-S2,FTA,
26,Super RTL A,TV,,SD,0x708F,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA,
27,TELE 5,TV,,SD,0x0033,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0021,0x85,Sat,12480,V,27500,auto,DVB-S,FTA,
28,Disney Channel,TV,,SD,0x0701,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA,
29,TLC,TV,,SD,0x0304,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA,
30,KIKA HD,TV,,HD,0x2B98,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03F2,0x01,Sat,11347,V,22000,auto,DVB-S2,FTA,
31,RIC,TV,,SD,0x32DB,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045D,0x01,Sat,12692,H,22000,auto,DVB-S,FTA,
32,ANIXE HD,TV,,HD,0x526C,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,FTA,
33,Welt der Wunder,TV,,SD,0x332F,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
34,N24,TV,,SD,0x445F,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0453,0x01,Sat,12545,H,22000,auto,DVB-S,FTA,
35,n-tv,TV,,SD,0x2F3A,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0441,0x01,Sat,12188,H,27500,auto,DVB-S,FTA,
36,EuroNews,TV,,SD,0x79F4,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA,
37,arte HD,TV,,HD,0x283E,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03FB,0x01,Sat,11494,H,22000,auto,DVB-S2,FTA,
38,3sat HD,TV,,HD,0x2B8E,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03F2,0x01,Sat,11347,V,22000,auto,DVB-S2,FTA,
39,DAF Neu,TV,,SD,0x33AB,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03EB,0x01,Sat,11244,H,22000,auto,DVB-S,FTA,
40,ARD-alpha,TV,,SD,0x6F47,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
41,PHOENIX HD,TV,,HD,0x285B,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0401,0x01,Sat,11582,H,22000,auto,DVB-S2,FTA,
42,SPORT1,TV,,SD,0x0384,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0021,0x85,Sat,12480,V,27500,auto,DVB-S,FTA,
43,Eurosport Deutschland,TV,,SD,0x79E0,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA,
44,LT1-OOE,TV,,SD,0x3330,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
45,Schau TV,TV,,SD,0x33A9,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03EB,0x01,Sat,11244,H,22000,auto,DVB-S,FTA,
46,BTV,TV,,SD,0x3355,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
47,tagesschau24HD,TV,,HD,0x2887,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x040F,0x01,Sat,11052,H,22000,auto,DVB-S2,FTA,
48,EinsFestival HD,TV,,HD,0x2888,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x040F,0x01,Sat,11052,H,22000,auto,DVB-S2,FTA,
49,EinsPlus HD,TV,,HD,0x2889,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x040F,0x01,Sat,11052,H,22000,auto,DVB-S2,FTA,
50,ZDFinfo HD,TV,,HD,0x2BA2,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03F2,0x01,Sat,11347,V,22000,auto,DVB-S2,FTA,
51,zdf_neo HD,TV,,HD,0x2B7A,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03F3,0x01,Sat,11361,H,22000,auto,DVB-S2,FTA,
