channel_number,service_name,service_type,provider_name,video_type,service_id,pmt_pid,video_pid,audio_pid,pcr_pid,teletext_pid,satellite_type,ts_id,network_id,modulation,frequency,polarization,symbol_rate,fec,transport_spec,cas_type
1,SRF1 HD,TV,,HD,0x4331,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x300C,0x13E,Sat,10972,H,29700,auto,DVB-S2,VA
2,SRF2 HD,TV,,HD,0x4332,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x300C,0x13E,Sat,10972,H,29700,auto,DVB-S2,VA
3,SRF Info,TV,,SD,0x038F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x2134,0x13E,Sat,12399,H,27500,auto,DVB-S,FTA
4,3+,TV,,SD,0x1260,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F7,0x01,Sat,11421,H,22000,auto,DVB-S,VA
5,Das Erste HD,TV,,HD,0x283D,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FB,0x01,Sat,11494,H,22000,auto,DVB-S2,FTA
6,ZDF HD,TV,,HD,0x2B66,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F3,0x01,Sat,11362,H,22000,auto,DVB-S2,FTA
7,RTL Television,TV,,SD,0x2EE3,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0441,0x01,Sat,12188,H,27500,auto,DVB-S,FTA
8,RTL2,TV,RTL World,SD,0x2EF4,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0441,0x01,Sat,12188,H,27500,auto,DVB-S,FTA
9,VOX,TV,RTL World,SD,0x2F1C,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0441,0x01,Sat,12188,H,27500,auto,DVB-S,FTA
10,ProSieben,TV,ProSiebenSat.1,SD,0x445D,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0453,0x01,Sat,12545,H,22000,auto,DVB-S,FTA
11,kabel eins,TV,ProSiebenSat.1,SD,0x445E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0453,0x01,Sat,12545,H,22000,auto,DVB-S,FTA
12,SAT.1,TV,,SD,0x445C,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0453,0x01,Sat,12545,H,22000,auto,DVB-S,FTA
13,arte HD,TV,,HD,0x283E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FB,0x01,Sat,11494,H,22000,auto,DVB-S2,FTA
14,ServusTV HD Deutschland,TV,,HD,0x1332,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03EF,0x01,Sat,11303,H,22000,auto,DVB-S2,FTA
15,BR Süd HD,TV,,HD,0x2855,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0401,0x01,Sat,11582,H,22000,auto,DVB-S2,FTA
16,hr-fernsehen,TV,ARD,SD,0x6DCC,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x044D,0x01,Sat,11836,H,27500,auto,DVB-S,FTA
17,WDR Köln HD,TV,,SD,0x6EA5,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x04B1,0x01,Sat,12422,H,27500,auto,DVB-S,FTA
18,SR Fernsehen,TV,,SD,0x6F46,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0445,0x01,Sat,12266,H,27500,auto,DVB-S,FTA
19,BR-alpha,TV,ARD,SD,0x6F47,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0445,0x01,Sat,12266,H,27500,auto,DVB-S,FTA
20,SWR BW HD,TV,,HD,0x283F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FB,0x01,Sat,11494,H,22000,auto,DVB-S2,FTA
21,3sat HD,TV,,HD,0x2B8E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F2,0x01,Sat,11347,V,22000,auto,DVB-S2,FTA
22,zdf_neo HD,TV,,HD,0x2B7A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F3,0x01,Sat,11362,H,22000,auto,DVB-S2,FTA
23,zdf.kultur HD,TV,,HD,0x2B84,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F3,0x01,Sat,11362,H,22000,auto,DVB-S2,FTA
24,ZDFinfo HD,TV,,HD,0x2BA2,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F2,0x01,Sat,11347,V,22000,auto,DVB-S2,FTA
25,n-tv,TV,RTL World,SD,0x2F3A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0441,0x01,Sat,12188,H,27500,auto,DVB-S,FTA
26,EuroNews,TV,GlobeCast,SD,0x79F4,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA
27,N24,TV,ProSiebenSat.1,SD,0x445F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0453,0x01,Sat,12545,H,22000,auto,DVB-S,FTA
28,SAT.1 Gold,TV,,SD,0x4460,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0453,0x01,Sat,12545,H,22000,auto,DVB-S,FTA
29,RTL Nitro,TV,,SD,0x2F1D,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0441,0x01,Sat,12188,H,27500,auto,DVB-S,FTA
30,Prosieben MAXX,TV,,SD,0x4461,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0453,0x01,Sat,12545,H,22000,auto,DVB-S,FTA
31,Joiz,TV,,SD,0x004A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
32,SIXX,TV,,SD,0x0308,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12460,H,27500,auto,DVB-S,FTA
33,tagesschau24,TV,ARD,SD,0x7031,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041B,0x01,Sat,10744,H,22000,auto,DVB-S,FTA
34,EinsFestival HD,TV,ARD,HD,0x6EEC,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x04B1,0x01,Sat,12422,H,27500,auto,DVB-S,FTA
35,EinsPlus,TV,ARD,SD,0x7033,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041B,0x01,Sat,10744,H,22000,auto,DVB-S,FTA
36,PHOENIX HD,TV,,HD,0x285B,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0401,0x01,Sat,11582,H,22000,auto,DVB-S2,FTA
37,DMAX,TV,,SD,0x003F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0021,0x85,Sat,12480,V,27500,auto,DVB-S,FTA
