channel_number,service_name,service_type,provider_name,video_type,service_id,pmt_pid,video_pid,audio_pid,pcr_pid,teletext_pid,satellite_type,ts_id,network_id,modulation,frequency,polarization,symbol_rate,fec,transport_spec,cas_type
1,Das Erste HD,TV,,HD,0x283D,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FB,0x01,Sat,11494,H,22000,auto,DVB-S2,FTA
2,ZDF HD,TV,,HD,0x2B66,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F3,0x01,Sat,11362,H,22000,auto,DVB-S2,FTA
3,RTL Television,TV,,SD,0x2EE3,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0441,0x01,Sat,12188,H,27500,auto,DVB-S,FTA
4,SAT.1,TV,ProSiebenSat.1,SD,0x445C,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0453,0x01,Sat,12545,H,22000,auto,DVB-S,FTA
5,VOX,TV,RTL World,SD,0x2F1C,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0441,0x01,Sat,12188,H,27500,auto,DVB-S,FTA
6,ProSieben,TV,ProSiebenSat.1,SD,0x445D,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0453,0x01,Sat,12545,H,22000,auto,DVB-S,FTA
7,kabel eins,TV,ProSiebenSat.1,SD,0x445E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0453,0x01,Sat,12545,H,22000,auto,DVB-S,FTA
8,arte HD,TV,,HD,0x283E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FB,0x01,Sat,11494,H,22000,auto,DVB-S2,FTA
9,RTL2,TV,RTL World,SD,0x2EF4,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0441,0x01,Sat,12188,H,27500,auto,DVB-S,FTA
10,Super RTL,TV,RTL World,SD,0x2F08,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0441,0x01,Sat,12188,H,27500,auto,DVB-S,FTA
