channel_number,service_name,service_type,provider_name,video_type,service_id,pmt_pid,video_pid,audio_pid,pcr_pid,teletext_pid,satellite_type,ts_id,network_id,modulation,frequency,polarization,symbol_rate,fec,transport_spec,cas_type
1,Rai 1,TV,RAI,SD,0x213F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x3070,0x13E,Sat,10992,V,27500,auto,DVB-S,FTA
2,Rai 2,TV,RAI,SD,0x2140,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x3070,0x13E,Sat,10992,V,27500,auto,DVB-S,FTA
3,Rai 3,TV,RAI,SD,0x2141,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x3070,0x13E,Sat,10992,V,27500,auto,DVB-S,FTA
4,Rete 4,TV,Mediaset,SD,0x0003,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x3AC,0x110,Sat,11373,H,29900,auto,DVB-S,FTA
5,Canale 5,TV,Mediaset,SD,0x0005,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x3AC,0x110,Sat,11373,H,29900,auto,DVB-S,FTA
6,Italia 1,TV,Mediaset,SD,0x0001,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x3AC,0x110,Sat,11373,H,29900,auto,DVB-S,FTA
7,LA7,TV,TIMB,SD,0x0E1E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x708,0xC8,Sat,11541,V,22000,auto,DVB-S,FTA
8,MTV,TV,M-Three satcom,SD,0x0E24,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x708,0xC8,Sat,11541,V,22000,auto,DVB-S,FTA
9,DeeJay TV,TV,Rete A 1,SD,0x0E2A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x708,0xC8,Sat,11541,V,22000,auto,DVB-S,FTA
10,Rai 4,TV,RAI,SD,0x2142,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x3070,0x13E,Sat,10992,V,27500,auto,DVB-S,FTA
11,Iris,TV,Mediaset,SD,0x0004,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x3DE,0x110,Sat,11373,H,29900,auto,DVB-S,FTA
12,La 5,TV,Mediaset,SD,0x0007,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x3DE,0x110,Sat,11373,H,29900,auto,DVB-S,FTA
13,Rai 5,TV,RAI,SD,0x0D52,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x1450,0x13E,Sat,11766,V,27500,auto,DVB-S,FTA
14,Rai Movie,TV,RAI,SD,0x2136,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x3070,0x13E,Sat,10992,V,27500,auto,DVB-S,FTA
15,Rai Premium,TV,RAI,SD,0x0CEA,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x1518,0x13E,Sat,11804,V,27500,auto,DVB-S,FTA
16,Mediaset ITALIA DUE,TV,Mediaset,SD,0x000A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x3DE,0x110,Sat,11373,H,29900,auto,DVB-S,FTA
17,Mediaset EXTRA,TV,Mediaset,SD,0x0009,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x3DE,0x110,Sat,11373,H,29900,auto,DVB-S,FTA
18,TV2000,TV,RAI,SD,0x2BAC,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x19C8,0xFBFF,Sat,12034,V,29900,auto,DVB-S,FTA
19,Cielo,TV,SkyItalia,SD,0x2B66,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x19C8,0xFBFF,Sat,12034,V,29900,auto,DVB-S,FTA
20,Rai News,TV,RAI,SD,0x2144,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x3070,0x13E,Sat,10992,V,27500,auto,DVB-S,FTA
21,Rai Sport 1,TV,RAI,SD,0x0CE9,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x1518,0x13E,Sat,11804,V,27500,auto,DVB-S,FTA
22,Rai Sport 2,TV,RAI,SD,0x0CE5,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",HOTBIRD,0x1518,0x13E,Sat,11804,V,27500,auto,DVB-S,FTA
